name,latitude,longitude,elevation,elevation2,species,number,TreeCover1,TreeCover200,EPS,samp.depth
alb001,42.4167,19.7667,1800,961,PIHE,27,51,71.5,0.892181501,37
alb002,41.8,20.2333,1900,1145,PIHE,28,10.5,47.25,0.944804771,69
alb003,40.7,20.1333,2000,1529,PIHE,28,21.25,72.75,0.976601399,116
alb004,41,19.4833,3,1,PIHA,30,34,58.25,0.916642832,40
alge001,36.45,4.1,1520,1378,CDAT,25,19,51.66666667,0.898942801,33
alge002,36.45,4.1,1560,1378,PINI,25,19,51.66666667,0.944404311,39
alge003,34.6,3.1167,1380,1286,PIHA,26,0,0,0.987046295,38
aust113,48.5,16.4,220,274,QUSP,31,2.25,6,0.982151549,261
aut116,47.81,13.59,1337,1333,PCAB,30,28.75,67,0.850238349,20
aut117,47.808,13.591,1209,1236,PCAB,30,55.25,69.75,0.903962984,20
aut118,47.808,13.591,1209,1236,ABAL,30,55.25,69.75,0.953900616,20
aut119,47.808,13.591,1209,1236,FASY,30,55.25,69.75,0.951524019,20
aut120,47.803,13.591,978,1000,PCAB,30,64.75,73.75,0.913645368,20
aut121,47.803,13.591,978,1000,ABAL,30,64.75,73.75,0.91004163,20
aut122,47.803,13.591,978,1000,FASY,30,64.75,73.75,0.919186868,20
aut123,47.799,13.589,791,773,PCAB,30,54.25,74.25,0.919895467,20
aut124,47.799,13.589,791,773,ABAL,30,54.25,74.25,0.926537974,20
aut125,47.799,13.589,791,773,FASY,30,54.25,74.25,0.925345523,20
aut126,47.791,13.552,527,519,PCAB,30,14.75,77.25,0.915857677,20
aut127,47.791,13.552,527,519,FASY,30,14.75,77.25,0.952460335,20
aut128,47.791,13.552,527,519,LADE,30,14.75,77.25,0.936938749,20
aut129,47.765,13.582,1465,1344,LADE,30,62.5,71.75,0.9358597,20
aut130,47.762,14.417,1460,1454,PCAB,29,38.75,71.75,0.914477785,20
aut131,47.762,14.417,1460,1454,FASY,29,38.75,71.75,0.960359089,20
aut132,47.762,14.417,1460,1454,LADE,29,38.75,71.75,0.922827648,20
aut133,47.76,14.42,1350,1374,PCAB,29,58.75,71.75,0.906917224,20
aut134,47.76,14.42,1350,1374,FASY,29,58.75,71.75,0.93954409,20
aut135,47.76,14.42,1350,1374,LADE,29,58.75,71.75,0.947910948,20
aut136,47.757,14.343,950,979,PCAB,29,64.75,73.25,0.895416776,20
aut137,47.757,14.343,950,979,ABAL,29,64.75,73.25,0.902922489,20
aut138,47.757,14.343,950,979,FASY,29,64.75,73.25,0.95345079,20
aut139,47.757,14.343,950,979,LADE,29,64.75,73.25,0.946461297,20
aut140,47.754,14.438,1150,1152,PCAB,29,51.5,77.5,0.899426642,20
aut141,47.754,14.438,1150,1152,ABAL,29,51.5,77.5,0.895944134,20
aut142,47.754,14.438,1150,1152,FASY,29,51.5,77.5,0.932148063,20
aut143,47.754,14.438,1150,1152,LADE,29,51.5,77.5,0.940374865,20
aut144,47.84,14.438,901,901,PCAB,30,70.25,76.5,0.887462339,20
aut145,47.84,14.438,901,901,FASY,30,70.25,76.5,0.90143491,20
aut146,47.84,14.438,901,901,LADE,30,70.25,76.5,0.966725191,20
aut147,47.84,14.451,894,911,PCAB,30,67.25,78.75,0.897644196,20
aut148,47.84,14.451,894,911,FASY,30,67.25,78.75,0.931841078,20
aut149,47.84,14.451,894,911,LADE,30,67.25,78.75,0.96037124,20
aut150,47.838,14.444,876,892,PCAB,30,68.75,74.75,0.926770847,20
aut151,47.838,14.444,876,892,FASY,30,68.75,74.75,0.935179972,20
aze001,38.71,48.53,1500,1452,TABA,36,19.5,47.75,0.897824315,23
bel001,50.75,4.42,113,135,FASY,41,69.5,78,0.934852827,39
brit053,53.37,-1.5,140,124,QURO,23,16.25,30.75,0.928909553,20
brit063,51.4,-1.7,170,170,QUSP,26,38.5,64.5,0.889624177,21
brit064,51.0667,-1.3833,120,153,QUSP,29,24.5,65,0.927799915,26
brit065,52.82,1.22,40,30,QUSP,28,12.75,66.5,0.92339501,33
brit066,52.9,1.27,55,49,QUSP,29,7.5,19,0.892221679,27
brit067,52.75,1.04,39,33,QUSP,29,8,16,0.901093662,29
brit068,52.58,1.17,41,54,QUSP,28,3.75,72.25,0.865732609,21
brit069,52.407,1.617,25,18,QUSP,24,5,57.5,0.883306721,21
brit072,55.27,-3.43,175,128,QURO,23,7.25,17.25,0.897702253,26
brit093,50.633142,-4.224025,,76,QUSP,33,6.666666667,68.75,0.928556387,44
che413,46.008,7.706,2000,1976,LADE,37,10,71,0.97053016,37
che414,46.001,7.743,2050,2040,LADE,37,53.25,67.5,0.987801498,49
che415,46.002,7.74,1900,1912,LADE,37,61,72.5,0.983067019,67
che416,46.007,7.743,1740,1771,LADE,37,53.25,77.75,0.986613018,62
che417,46.218,8.058,2150,2159,LADE,29,53,67.5,0.951493192,21
che418,46.212,8.055,2020,2030,LADE,30,58.25,67.25,0.965361224,21
che419,46.208,8.047,1713,1713,LADE,30,51.5,70.25,0.967829076,26
che420,46.196,8.064,1400,1501,LADE,31,38.25,66.25,0.90320671,23
che421,46.191,8.044,1900,1902,LADE,30,66.5,71.75,0.919401312,21
che422,46.196,8.045,1712,1751,LADE,31,55.5,74.5,0.951874992,23
che423,46.193,8.053,1575,1583,LADE,31,52.5,69.25,0.957300577,23
che424,47.49542,7.04324,459,476,FASY,39,64,76.25,0.964772276,42
che425,47.49287,7.02637,488,494,FASY,39,67.75,75.75,0.981336269,42
che426,47.49098,7.02227,457,467,FASY,39,63.5,76.5,0.980886135,42
che427,47.46482,7.09776,479,494,FASY,39,45.25,74.5,0.969279775,42
che428,47.46221,7.08772,500,513,FASY,39,63.75,75.5,0.955586441,42
che429,47.45312,7.08781,527,541,FASY,39,59.25,72.25,0.975421319,42
che430,47.49607,7.14147,490,501,FASY,39,59,74,0.965040918,42
che431,47.4913,7.10275,462,479,FASY,39,51.5,76.25,0.979317644,42
che432,47.49218,7.10575,479,489,FASY,39,45.75,77.75,0.978288437,42
che449,47.61388889,8.56111111,510,530,QUSP,29,16,75.5,0.937458739,29
che450,47.52444444,8.52083333,425,439,QUSP,29,61.75,75.5,0.946283581,31
che452,47.1347222,9.25527778,500,862,QUSP,29,49.25,75.25,0.903779109,29
che453,47.5575,8.33555556,550,529,QUSP,29,16,73.25,0.938980976,29
che454,47.5469444,8.52666667,420,436,QUSP,29,63,75,0.945476913,30
che455,46.1275,7.07388889,778,916,QUSP,29,21,73.375,0.926800546,30
che456,46.2933333,7.56333333,588,575,QUSP,29,38.5,54.75,0.902241899,24
che457,47.5319444,8.49444444,470,490,QUSP,29,60,76.5,0.90738024,29
che458,47.5519444,8.45361111,485,524,QUSP,29,48.25,76,0.933164114,30
che459,47.4130556,7.9925,625,570,QUSP,29,51.5,73.5,0.9504715,31
che460,46.77972223,7.890833341,1865,1876,PCAB,43,9.25,52.75,0.953034838,76
che461,46.77972223,7.890833341,1865,1876,PIMG,43,9.25,52.75,0.95872241,70
che462,46.0038889,7.770277786,2372,2357,LADE,43,30.5,62.25,0.983214448,66
che463,46.0038889,7.770277786,2372,2357,PICE,43,30.5,62.25,0.935068227,34
che464,46.32916668,8.517777786,2095,2087,LADE,43,3.75,20.75,0.932462015,34
che485,46.59266,7.97979,1820,1813,PCAB,31,58.5,72.75,0.924811617,25
che486,46.60178,7.9992,1483,1519,PCAB,31,57,71.66666667,0.898150133,25
che487,46.55585,9.60853,1725,1754,PCAB,36,72,76,0.945871818,67
che499,46.39256944,7.762591667,1341,1328,PCAB,34,22.5,71.25,0.929617549,55
che500,46.38705278,7.76511,1634,1660,PCAB,31,63,72.25,0.881896913,28
che501,46.38587,7.77382,1961,1976,PCAB,32,61.75,71.25,0.945859522,41
che502,46.39718611,7.755372222,1670,1667,PCAB,34,53.5,70.25,0.944496734,29
che503,46.39687,7.745863889,1928,1934,PCAB,34,46.5,66.25,0.944695333,48
che512,46.72696,9.4844737,1720,1728,PCAB,31,43.5,67.5,0.900192597,28
che523,46.39256944,7.762591667,1341,1328,LADE,34,22.5,71.25,0.947563896,50
che524,46.38705278,7.76511,1634,1660,LADE,31,63,72.25,0.97418892,36
che525,46.38587,7.77382,1961,1976,LADE,32,61.75,71.25,0.976629341,38
che526,46.38121389,7.772791667,2182,2166,LADE,31,50.75,69,0.969963927,41
che527,46.39718611,7.755372222,1670,1667,LADE,34,53.5,70.25,0.97514357,37
che528,46.39687,7.745863889,1928,1934,LADE,34,46.5,66.25,0.978117162,31
che529,46.3996,7.742555556,2104,2107,LADE,34,34.5,71,0.983084918,81
che552,47.2672222,7.8836111,480,475,ABAL,31,65.75,77,0.970527761,132
che556,46.883333,6.559444,970,992,FASY,38,67.5,72.25,0.938079253,29
che557,46.959444,7.773611,894,901,FASY,38,68.25,73.5,0.988268144,30
che559,47.53821,8.21732,425,438,FASY,40,63.75,70.5,0.954427677,41
che560,47.50793,7.70323,468,477,FASY,39,45.75,74.5,0.970352446,36
che561,47.30803,9.55951,510,521,FASY,40,67.75,73.75,0.959566991,41
che562,47.6665,8.57309,520,536,FASY,40,63.25,75,0.973744639,43
che563,47.47931,7.4767,574,583,FASY,40,65,76.75,0.969472116,41
che564,47.50889,7.66973,450,473,FASY,39,66.25,73.75,0.955144759,35
che588,46.81932,9.44212,670,689,FASY,32,66.5,76.5,0.952875863,20
che601,47.16589,8.41628,427,439,FREX,42,64.75,73,0.887770508,21
cyp020,35,32.63,859,825,PIBR,30,44.33333333,56.25,0.964041485,42
cyp021,34.92,32.86,1756,1756,PINI,30,1.5,22,0.966499696,39
cyp022,34.93,32.9,1642,1601,PINI,30,13.33333333,33.25,0.953568559,35
cypr015,35.02,32.63,1050,913,PIBR,22,36.33333333,55,0.941245073,37
cypr016,34.92,32.9,1550,1541,PIBR,22,5.333333333,45,0.953761433,30
cypr017,34.92,32.9,1550,1541,PINI,22,5.333333333,45,0.919392693,23
cypr018,34.93,32.87,1770,1865,PINI,22,26,29.25,0.963427988,34
cypr019,34.98,32.67,1400,882,CDBR,22,38.5,53.75,0.929676534,40
cze036,50.583154,14.432447,389,404,PISY,39,67,76.75,0.874421702,26
cze037,50.583294,14.43426,411,415,PISY,39,64.75,74.75,0.897049488,27
cze038,50.580903,14.436868,374,390,PISY,40,52.75,72.5,0.902103456,26
cze039,50.569243,14.440444,384,387,PISY,40,54.5,72.75,0.903243762,26
cze040,50.574326,14.436028,395,401,PISY,39,63,73.25,0.925140018,26
cze041,50.570809,14.432219,338,354,PISY,39,65.75,75,0.898809044,26
cze042,50.574482,14.433891,379,376,PISY,40,66.75,74.75,0.929880053,26
cze043,50.599173,14.451654,497,494,PISY,39,53.25,73.25,0.969414985,64
cze044,50.596338,14.447048,383,389,PISY,39,21.75,69.25,0.881662636,26
cze045,50.57463,14.457303,413,425,PISY,40,63.25,75.75,0.856358007,26
cze046,50.579373,14.453595,423,433,PISY,39,61.5,74.25,0.926274407,25
cze047,50.58407,14.460131,361,386,PISY,39,58.75,74.5,0.899117666,35
cze048,50.583267,14.447297,361,382,PISY,39,67.25,75.75,0.903535531,26
cze049,50.587257,14.440833,442,454,PISY,38,55,73,0.916352527,26
cze050,50.590041,14.454068,365,388,PISY,39,68,76.25,0.893265064,26
cze051,50.588811,14.45881,362,377,PISY,39,64.75,77.25,0.951369401,26
cze052,50.577946,14.454158,399,410,PISY,39,65,73.75,0.929547942,26
cze053,50.595737,14.452868,382,393,PISY,39,63.75,76.25,0.90652804,26
cze054,49.184294,13.24032,978,1000,PCAB,39,66.75,80.75,0.929632532,26
cze055,49.198471,13.24376,1146,1161,PCAB,40,68.5,81.25,0.957296729,26
cze056,49.201473,13.248555,1214,1220,PCAB,40,68.25,80.75,0.913069956,25
cze057,49.22112,13.249751,1031,1053,PCAB,41,71.66666667,81.25,0.861172954,25
cze058,49.215391,13.243904,1129,1141,PCAB,41,70.5,80.75,0.900252211,26
cze059,49.211255,13.260087,1136,1147,PCAB,41,69.25,81.5,0.936883163,26
cze060,49.186427,13.285707,1040,1050,PCAB,41,68.66666667,79.75,0.959440166,26
cze061,49.193996,13.266417,1019,1028,PCAB,41,61.75,82.5,0.964479026,26
cze062,49.178167,13.257786,1109,1123,PCAB,41,66.75,81.75,0.943333122,26
cze063,49.183504,13.256809,1152,1156,PCAB,41,69.25,80.5,0.924711727,25
cze064,49.206101,13.227974,931,950,PCAB,41,70.66666667,80,0.891387545,23
cze065,49.187113,13.271311,1051,1061,PCAB,41,67.5,80.25,0.921069889,24
cze066,49.19193,13.286154,996,1012,PCAB,41,69,77.75,0.863947027,25
cze067,49.200382,13.272748,1041,1057,PCAB,41,74,80.5,0.941331458,26
cze068,49.195968,13.276581,986,1001,PCAB,41,59.25,82.25,0.885277611,25
cze069,49.196379,13.282692,972,981,PCAB,41,68,82.25,0.870008247,26
cze070,49.203006,13.28631,1006,1018,PCAB,41,70.66666667,82.25,0.935598666,26
cze071,49.211954,13.231562,979,997,PCAB,41,67,81.25,0.927896244,25
cze072,49.181807,13.292969,993,1002,PCAB,41,68.5,80.75,0.866172281,25
cze073,49.216004,13.283301,801,816,PCAB,41,71.25,80.25,0.907860725,26
czec003,48.6667,14.7,785,771,ABAL,30,61.5,77.5,0.896810487,28
czec004,48.6667,14.7,785,771,FASY,30,61.5,77.5,0.981465257,178
czec005,48.6667,14.7,785,771,PCAB,30,61.5,77.5,0.958434736,100
czec006,50.75,15.66,1350,1340,PCAB,39,26.75,75.5,0.994317828,143
czec007,50.73,15.67,1270,1461,PCAB,38,59.5,69.5,0.983875003,43
czec008,50.56,14.46,405,356,PISY,39,64,73.75,0.956452584,59
czec009,50.57,14.45,420,351,PISY,37,66.75,74.75,0.96181987,65
czec010,50.72,15.7,1270,1252,PCAB,38,35.25,68.25,0.970874269,28
czec011,49.048522,13.477984,1000,1021,PISY,38,67.5,77.5,0.95375578,42
czec012,48.87,13.79,950,825,PCAB,37,17.5,76.25,0.900449753,36
czec013,48.890576,14.354799,480,478,PISY,39,50.5,78.25,0.930081552,34
czec014,50.079523,17.214055,1300,1314,PCAB,38,63.25,74.5,0.979003407,44
czec015,50.850325,14.358207,200,225,PCAB,38,47.25,77.75,0.932528918,38
czec016,50.203864,16.845659,1300,1304,PCAB,31,60.33333333,68,0.988526143,41
czec017,49.203583,13.112284,1200,1208,PCAB,38,66.375,77.75,0.919772232,40
czec018,50.055243,12.776041,760,771,PISY,38,66.25,73,0.948299868,41
czec019,49.79232,15.7547,580,608,PCAB,39,66.5,74.5,0.943407409,42
czec020,49.316082,13.680751,470,477,PISY,39,66.5,73.75,0.933356096,43
czec021,50.043017,13.297917,460,507,PCAB,38,62.25,72.5,0.977754778,41
czec022,50.043017,13.297917,460,507,PISY,38,62.25,72.5,0.953847001,49
czec023,49.136701,13.502261,650,675,PCAB,38,58.25,76.75,0.957046811,40
czec024,50.889683,14.412967,425,424,PISY,38,67,79.75,0.958491927,46
czec025,50.756345,15.644769,1320,1314,PCAB,38,51.75,72.25,0.987446995,44
czec026,50.889617,14.2598,470,497,PCAB,38,54.25,76.75,0.960627507,35
czec027,50.15623,17.34525,940,934,PISY,38,67,74.75,0.928905601,50
czec028,50.192,16.089,275,278,QURO,35,62.5,70.75,0.903978212,22
czec029,50.393,14.073,225,219,QURO,35,55.75,74.25,0.929237206,28
czec030,50.431,14.278,160,167,QURO,35,65,74.75,0.961843683,24
czec031,50.447,14.293,160,169,QURO,35,58,73.5,0.932937472,27
czec032,50.336,14.483,170,168,QURO,33,38.75,74.75,0.9009377,23
czec033,50.467,14.327,160,166,QURO,35,51.75,71,0.891642161,24
czec034,50.295,16.063,255,263,QURO,33,51.25,70,0.929598252,22
czec035,50.093,15.94,277,283,QURO,36,37.25,73.25,0.954793358,29
deu306,52.441389,13.442778,,51,QUPE,36,41.75,67,0.950659968,21
deu317,53.334722,13.202778,,115,QUSP,36,71.5,80,0.960171387,26
deu319,47.644,12.771,920,942,PCAB,30,67.5,76,0.958153692,20
deu320,47.637,12.778,1220,1226,PCAB,30,66.75,73,0.955064197,20
deu321,47.634,12.782,1420,1450,PCAB,30,53.25,75.5,0.89786499,20
deu322,47.667,13.021,760,748,PCAB,28,63.75,73.5,0.899587584,20
deu323,47.667,13.021,760,748,ABAL,28,63.75,73.5,0.900051184,20
deu324,47.667,13.021,760,748,FASY,28,63.75,73.5,0.905945762,20
deu325,47.667,13.021,760,748,LADE,28,63.75,73.5,0.950136123,20
deu326,47.632,12.852,1040,1022,PCAB,28,70.25,75,0.852719974,20
deu328,47.632,12.852,1040,1022,FASY,28,70.25,75,0.8922612,20
deu329,47.632,12.852,1040,1022,LADE,28,70.25,75,0.900670527,20
deu330,47.656,13.022,1020,1038,PCAB,28,65.25,75.875,0.905115073,20
deu331,47.656,13.022,1020,1038,ABAL,28,65.25,75.875,0.888032811,20
deu332,47.656,13.022,1020,1038,FASY,28,65.25,75.875,0.890566714,20
deu333,47.648,13.02,770,776,PCAB,28,67,71.25,0.900811413,20
deu334,47.648,13.02,770,776,ABAL,28,67,71.25,0.865913632,20
deu335,47.682,12.875,1040,1065,PCAB,30,61.75,73.5,0.87772035,20
deu336,47.695,12.871,1330,1349,PCAB,30,64.75,75.75,0.929756872,20
deu337,47.696,12.875,1520,1525,PCAB,30,59.75,71.5,0.941059328,20
deu338,50.291,8.603,445,448,FASY,41,50.75,77.25,0.952993697,40
deu339,50.309,8.655,407,406,FASY,41,69.5,77.25,0.925581243,38
deu340,50.33,7.582,120,141,QUPE,38,57.75,75,0.986987608,98
deu341,50.012,8.19,144,145,PISY,39,53.25,69.75,0.976667926,77
deu342,50.01,8.196,142,144,PISY,39,46.25,67.25,0.980960247,101
deu343,50.012,8.177,179,173,FASY,39,58.25,74.75,0.978922504,127
deu344,47.574,12.803,960,969,PCAB,28,63,71,0.937941433,20
deu345,47.574,12.803,960,969,ABAL,28,63,71,0.891781618,20
deu346,47.574,12.803,960,969,FASY,28,63,71,0.921394827,20
deu347,47.561,12.815,1620,1599,PCAB,28,61.25,68.75,0.917580663,20
deu348,47.561,12.815,1620,1599,LADE,28,61.25,68.75,0.941560666,20
deu349,47.522,13.014,1670,1654,PCAB,28,61.25,69.25,0.926594148,20
deu350,47.522,13.014,1670,1654,LADE,28,61.25,69.25,0.946265439,20
deu351,47.511,13.017,1220,1233,PCAB,28,62,74,0.910943347,20
deu352,47.511,13.017,1220,1233,FASY,28,62,74,0.938596495,20
deu353,47.551,12.805,1560,1594,PCAB,28,55.75,69.75,0.877020954,20
deu354,47.551,12.805,1560,1594,LADE,28,55.75,69.75,0.935608002,20
deu355,47.584,12.889,1330,1319,PCAB,28,63.75,75.25,0.900919704,20
deu356,47.584,12.889,1330,1319,FASY,28,63.75,75.25,0.962427229,20
deu357,47.584,12.889,1330,1319,LADE,28,63.75,75.25,0.924414058,20
deu358,47.584,12.994,680,704,PCAB,28,67.5,78.75,0.937863826,20
deu359,47.584,12.994,680,704,FASY,28,67.5,78.75,0.92319483,20
deu360,47.557,12.804,1310,1308,PCAB,28,66.5,75.25,0.875857678,20
deu361,47.557,12.804,1310,1308,ABAL,28,66.5,75.25,0.912477329,20
deu362,47.557,12.804,1310,1308,FASY,28,66.5,75.25,0.942192684,20
deu363,47.557,12.804,1310,1308,LADE,28,66.5,75.25,0.940047154,20
deu364,47.568,12.825,1600,1566,PCAB,28,45,69.5,0.896197876,20
deu365,47.568,12.825,1600,1566,LADE,28,45,69.5,0.957151117,20
deu366,47.498,11.03,1400,1401,PCAB,30,55,70.5,0.862714894,20
deu367,47.498,11.03,1400,1401,PISY,30,55,70.5,0.891574441,20
deu368,47.498,11.03,1400,1401,ABAL,30,55,70.5,0.943691713,20
deu369,47.498,11.03,1400,1401,FASY,30,55,70.5,0.933156931,20
deu370,47.494,11.03,1220,1235,PCAB,30,67.5,75.75,0.900475803,20
deu371,47.494,11.03,1220,1235,PISY,30,67.5,75.75,0.910264132,20
deu372,47.494,11.03,1220,1235,ABAL,30,67.5,75.75,0.89961769,20
deu373,47.494,11.03,1220,1235,FASY,30,67.5,75.75,0.947462423,20
deu374,47.49,11.028,1020,1000,PCAB,27,62.25,76.25,0.861282723,20
deu375,47.49,11.028,1020,1000,PISY,30,62.25,76.25,0.9142949,20
deu377,47.49,11.028,1020,1000,FASY,30,62.25,76.25,0.943976061,20
deu380,47.485,11.026,838,841,ABAL,30,57.75,72.5,0.93927947,20
